timestamp,hex,flight,alt_baro,gs,track,lat,lon,seen,squawk,category
2025-07-28T17:00:00.500000,4cade3,RYR55EZ,37000,457.2,196.7,,,4.1,5247,A3
2025-07-28T17:00:00.500000,407f62,,,,,,,117.1,,
2025-07-28T17:00:00.500000,407e46,,34975,,,,,8.9,,
2025-07-28T17:00:00.500000,4952cf,TAP1364,21475,442.0,36.4,39.498922,-8.387268,0.2,5250,A3
2025-07-28T17:00:00.500000,4cac56,,,430.7,11.5,,,0.4,,
2025-07-28T17:00:00.500000,aa9451,,,,,,,197.2,,
2025-07-28T17:00:00.500000,394c0f,AFR13BR,20275,406.7,46.5,39.51596,-8.20636,0.1,5260,A3
2025-07-28T17:00:00.500000,348307,,34000,465.2,32.8,,,1.0,,A3
2025-07-28T17:00:00.500000,347646,,,,,,,152.0,,
2025-07-28T17:00:00.500000,495211,TAP1312,26275,409.2,4.3,40.005341,-8.787048,0.1,5452,A3
2025-07-28T17:00:00.500000,3e232e,,,,,,,164.6,,A1
2025-07-28T17:00:00.500000,4892c5,,,,,,,167.6,,A3
2025-07-28T17:00:00.500000,484c5a,,,,,,,119.1,,
2025-07-28T17:00:00.500000,4d21fc,,,,,,,117.0,,A3
2025-07-28T17:00:00.500000,3474da,,,,,,,116.8,,A3
2025-07-28T17:00:00.500000,4b194d,,30500,473.1,45.6,,,1.2,,A3
2025-07-28T17:00:00.500000,511172,,,,,,,117.2,,
2025-07-28T17:00:00.500000,406cd2,,,,,,,298.6,,A3
2025-07-28T17:00:00.500000,495298,,,,,,,170.3,,A3
2025-07-28T17:01:00.700000,48c2ab,RYR40PY,23325,387.4,242.0,38.96264,-7.865479,1.9,4003,A3
2025-07-28T17:01:00.700000,343385,IBS1583,35000,457.5,216.0,,,4.4,2603,A3
2025-07-28T17:01:00.700000,4ca760,,,,,,,35.8,,
2025-07-28T17:01:00.700000,4cade3,RYR55EZ,37000,455.9,196.6,,,5.3,5247,A3
2025-07-28T17:01:00.700000,407f62,,,,,,,177.3,,
2025-07-28T17:01:00.700000,407e46,,34975,,,,,69.1,,
2025-07-28T17:01:00.700000,4952cf,TAP1364,23350,442.5,36.0,39.566702,-8.323303,0.1,5250,A3
2025-07-28T17:01:00.700000,4cac56,,32750,433.9,16.1,,,46.1,5465,
2025-07-28T17:01:00.700000,aa9451,,,,,,,257.3,,
2025-07-28T17:01:00.700000,394c0f,AFR13BR,21700,408.1,46.5,39.589606,-8.10614,3.7,5260,A3
2025-07-28T17:01:00.700000,348307,IBB4,34000,465.2,32.8,39.140284,-7.527588,14.4,6261,A3
2025-07-28T17:01:00.700000,347646,,,,,,,212.2,,
2025-07-28T17:01:00.700000,495211,TAP1312,27525,417.2,4.4,40.120743,-8.775513,0.1,5452,A3
2025-07-28T17:01:00.700000,3e232e,,,,,,,224.8,,A1
2025-07-28T17:01:00.700000,4892c5,,,,,,,227.8,,A3
2025-07-28T17:01:00.700000,484c5a,,,,,,,179.3,,
2025-07-28T17:01:00.700000,4d21fc,,,,,,,177.1,,A3
2025-07-28T17:01:00.700000,3474da,,,,,,,177.0,,A3
2025-07-28T17:01:00.700000,4b194d,,,473.1,45.6,,,60.1,,A3
2025-07-28T17:01:00.700000,511172,,,,,,,177.3,,
2025-07-28T17:01:00.700000,495298,,,,,,,230.4,,A3
2025-07-28T17:02:00.800000,4912d5,,10000,219.7,213.1,40.089577,-8.534067,7.7,,
2025-07-28T17:02:00.800000,48c2ab,,22150,384.3,237.8,38.921209,-7.952637,35.4,,A3
2025-07-28T17:02:00.800000,343385,IBS1583,35000,,,,,59.7,,A3
2025-07-28T17:02:00.800000,4ca760,,,,,,,96.0,,
2025-07-28T17:02:00.800000,4cade3,,37000,455.9,196.6,,,34.7,,A3
2025-07-28T17:02:00.800000,407f62,EZY94RM,37000,446.4,191.8,,,35.3,5405,A3
2025-07-28T17:02:00.800000,407e46,,,,,,,129.3,,
2025-07-28T17:02:00.800000,4952cf,TAP1364,23800,456.0,36.6,39.637741,-8.25647,8.6,5250,A3
2025-07-28T17:02:00.800000,4cac56,,,,,,,106.3,,
2025-07-28T17:02:00.800000,394c0f,,22575,,,39.589606,-8.10614,35.4,5260,A3
2025-07-28T17:02:00.800000,348307,,,,,,,74.5,,A3
2025-07-28T17:02:00.800000,347646,,,,,,,272.4,,
2025-07-28T17:02:00.800000,495211,TAP1312,28050,419.2,4.4,40.168671,-8.770691,34.1,5452,A3
2025-07-28T17:02:00.800000,3e232e,,,,,,,285.0,,A1
2025-07-28T17:02:00.800000,4892c5,,,,,,,288.0,,A3
2025-07-28T17:02:00.800000,484c5a,,,,,,,239.5,,
2025-07-28T17:02:00.800000,4d21fc,,,,,,,237.3,,A3
2025-07-28T17:02:00.800000,3474da,,36000,462.1,47.4,,,35.4,,A3
2025-07-28T17:02:00.800000,4b194d,,32450,,,,,34.8,,A3
2025-07-28T17:02:00.800000,511172,,,,,,,237.5,,
2025-07-28T17:02:00.800000,495298,,,,,,,290.6,,A3
2025-07-28T17:03:01,a217e2,,41000,422.9,266.2,39.513958,-8.427002,23.1,,
2025-07-28T17:03:01,4912d5,,10000,,,,,67.9,,
2025-07-28T17:03:01,48c2ab,,36775,,,,,37.3,,A3
2025-07-28T17:03:01,343385,,,,,,,119.8,,A3
2025-07-28T17:03:01,4ca760,,,,,,,156.2,,
2025-07-28T17:03:01,4cade3,,,,,,,94.9,,A3
2025-07-28T17:03:01,407f62,,,,,,,95.5,,A3
2025-07-28T17:03:01,407e46,,,,,,,189.5,,
2025-07-28T17:03:01,4952cf,,25200,458.6,36.8,39.738759,-8.159424,36.9,5250,A3
2025-07-28T17:03:01,4cac56,,,,,,,166.4,,
2025-07-28T17:03:01,394c0f,AFR13BR,23875,414.4,45.2,39.708755,-7.946399,22.9,5260,A3
2025-07-28T17:03:01,348307,,,,,,,134.7,,A3
2025-07-28T17:03:01,495211,,,,,,,94.3,,A3
2025-07-28T17:03:01,484c5a,,,,,,,299.6,,
2025-07-28T17:03:01,4d21fc,,,,,,,297.5,,A3
2025-07-28T17:03:01,3474da,,,,,,,95.6,,A3
2025-07-28T17:03:01,4b194d,,,,,,,95.0,,A3
2025-07-28T17:03:01,511172,,,,,,,297.7,,
2025-07-28T17:04:01.200000,a217e2,,,,,,,83.3,,
2025-07-28T17:04:01.200000,4912d5,RVP953,10000,218.8,213.3,39.958649,-8.644409,0.0,3253,A1
2025-07-28T17:04:01.200000,48c2ab,,,,,,,97.4,,A3
2025-07-28T17:04:01.200000,343385,,,,,,,180.0,,A3
2025-07-28T17:04:01.200000,4ca760,,,,,,,216.4,,
2025-07-28T17:04:01.200000,4cade3,,,,,,,155.1,,A3
2025-07-28T17:04:01.200000,407f62,,,,,,,155.6,,A3
2025-07-28T17:04:01.200000,407e46,,,,,,,249.6,,
2025-07-28T17:04:01.200000,4952cf,,,,,,,97.1,,A3
2025-07-28T17:04:01.200000,4cac56,,,,,,,226.6,,
2025-07-28T17:04:01.200000,394c0f,,,,,,,83.1,,A3
2025-07-28T17:04:01.200000,348307,,,,,,,194.9,,A3
2025-07-28T17:04:01.200000,495211,,,,,,,154.5,,A3
2025-07-28T17:04:01.200000,3474da,,,,,,,155.8,,A3
2025-07-28T17:04:01.200000,4b194d,,,,,,,155.2,,A3
