timestamp,hex,flight,alt_baro,gs,track,lat,lon,seen,squawk,category
2025-08-10T22:00:01.400000,495145,TAP783,,431.7,197.8,,,17.4,,A3
2025-08-10T22:00:01.400000,495215,TAP1325,31000,417.7,186.5,40.168442,-8.277649,4.4,7501,A3
2025-08-10T22:00:01.400000,4d22c1,RYR33SL,16025,399.0,46.8,39.360489,-8.424603,0.3,0560,A3
2025-08-10T22:00:01.400000,3964f1,,23825,404.7,185.2,,,12.1,7671,A3
2025-08-10T22:00:01.400000,49514b,TAP1369,30550,419.0,209.1,40.05038,-8.522831,0.3,5260,A3
2025-08-10T22:00:01.400000,4b161f,,35000,425.8,258.3,41.161954,-8.755479,13.3,3701,A3
2025-08-10T22:00:01.400000,4866ee,,,,,,,199.9,,A3
2025-08-10T22:00:01.400000,497c97,,,,,,,77.7,,
2025-08-10T22:00:01.400000,495219,TAP26T,24425,451.0,8.5,40.113556,-8.947754,1.5,3333,A3
2025-08-10T22:00:01.400000,406b5c,,,493.6,21.9,,,0.4,,A3
2025-08-10T22:00:01.400000,4cad0f,,,,,,,8.0,,A3
2025-08-10T22:00:01.400000,4402f0,,,,,,,202.4,,A3
2025-08-10T22:00:01.400000,406c80,,,,,,,14.2,,A3
2025-08-10T22:00:01.400000,4ca810,,,,,,,181.2,,A3
2025-08-10T22:00:01.400000,3c6637,DLH48X,17800,368.1,212.4,39.372757,-8.790436,39.2,0132,A3
2025-08-10T22:00:01.400000,406a95,,,,,,,205.0,,A3
2025-08-10T22:00:01.400000,3964ee,,21200,,,39.441383,-8.94873,34.5,,A3
2025-08-10T22:00:01.400000,49529a,TAP1933,23000,376.8,204.5,39.691177,-8.921854,2.2,4401,A3
2025-08-10T22:00:01.400000,407574,,36000,,,40.046656,-6.669762,64.8,,A3
2025-08-10T22:00:01.400000,4cae98,,31100,472.4,343.5,,,41.2,,A3
2025-08-10T22:01:01.100000,4951d6,TAP828,15100,334.6,46.6,39.177383,-8.67293,0.0,2227,A3
2025-08-10T22:01:01.100000,495145,TAP783,31800,437.9,205.9,39.857002,-8.283569,0.8,0741,A3
2025-08-10T22:01:01.100000,495215,,,,,,,33.0,,A3
2025-08-10T22:01:01.100000,4d22c1,,17425,404.7,47.0,39.418762,-8.344415,15.7,0560,A3
2025-08-10T22:01:01.100000,3964f1,,,,,,,71.8,,A3
2025-08-10T22:01:01.100000,49514b,TAP1369,29550,416.3,209.0,39.948853,-8.596191,0.1,5260,A3
2025-08-10T22:01:01.100000,4b161f,,,,,,,73.0,,A3
2025-08-10T22:01:01.100000,4866ee,,,,,,,259.6,,A3
2025-08-10T22:01:01.100000,497c97,,,,,,,137.4,,
2025-08-10T22:01:01.100000,495219,,25900,457.1,8.6,40.246737,-8.921523,16.5,3333,A3
2025-08-10T22:01:01.100000,406b5c,,35975,494.1,21.7,,,33.1,6265,A3
2025-08-10T22:01:01.100000,4cad0f,,37000,433.4,175.4,39.466415,-7.754736,0.1,0551,A3
2025-08-10T22:01:01.100000,4402f0,EJU84LF,39000,433.3,184.5,39.371695,-7.486328,0.0,5420,A3
2025-08-10T22:01:01.100000,406c80,,,,,,,73.9,,A3
2025-08-10T22:01:01.100000,4ca810,,,,,,,240.8,,A3
2025-08-10T22:01:01.100000,3c6637,,,,,,,98.9,,A3
2025-08-10T22:01:01.100000,406a95,,,,,,,264.7,,A3
2025-08-10T22:01:01.100000,3964ee,,,,,,,94.2,,A3
2025-08-10T22:01:01.100000,49529a,TAP1933,23000,377.7,204.4,39.582962,-8.985204,1.4,4401,A3
2025-08-10T22:01:01.100000,407574,,,,,,,124.5,,A3
2025-08-10T22:01:01.100000,4cae98,,,,,,,100.9,,A3
2025-08-10T22:02:01.700000,4951d6,TAP828,17325,340.2,46.5,39.24353,-8.58289,0.1,2227,A3
2025-08-10T22:02:01.700000,495145,TAP783,31025,437.2,216.8,39.756496,-8.374329,0.8,0741,A3
2025-08-10T22:02:01.700000,495215,,27850,,,,,0.3,7501,A3
2025-08-10T22:02:01.700000,4d22c1,RYR33SL,19625,418.6,45.4,39.522803,-8.201111,0.0,0560,A3
2025-08-10T22:02:01.700000,3964f1,,,,,,,132.3,,A3
2025-08-10T22:02:01.700000,49514b,TAP1369,28600,406.0,209.0,39.84825,-8.668457,0.0,5260,A3
2025-08-10T22:02:01.700000,4b161f,,,,,,,133.5,,A3
2025-08-10T22:02:01.700000,497c97,,,,,,,198.0,,
2025-08-10T22:02:01.700000,495219,,27225,470.2,8.6,40.402222,-8.890811,0.9,3333,A3
2025-08-10T22:02:01.700000,406b5c,,,,,,,93.7,,A3
2025-08-10T22:02:01.700000,4cad0f,RYR7DD,37000,433.3,175.5,39.381546,-7.745958,6.1,0551,A3
2025-08-10T22:02:01.700000,4402f0,EJU84LF,39000,437.4,184.6,39.271468,-7.496521,6.7,5420,A3
2025-08-10T22:02:01.700000,406c80,,,,,,,134.4,,A3
2025-08-10T22:02:01.700000,3c6637,,,,,,,159.5,,A3
2025-08-10T22:02:01.700000,3964ee,,,,,,,154.8,,A3
2025-08-10T22:02:01.700000,49529a,TAP1933,23000,376.4,204.3,39.518893,-9.022583,5.5,4401,A3
2025-08-10T22:02:01.700000,407574,,,,,,,185.1,,A3
2025-08-10T22:02:01.700000,4cae98,,,,,,,161.4,,A3
2025-08-10T22:03:00.600000,4866ee,,36000,490.7,27.6,,,17.9,7762,
2025-08-10T22:03:00.600000,4951d6,TAP828,18575,377.0,46.6,39.310385,-8.491577,0.1,2227,A3
2025-08-10T22:03:00.600000,495145,TAP783,30225,438.2,216.6,39.660095,-8.467175,0.2,0741,A3
2025-08-10T22:03:00.600000,495215,TAP1325,26625,364.4,186.6,39.801279,-8.332825,0.1,7501,A3
2025-08-10T22:03:00.600000,4d22c1,RYR33SL,20950,429.2,44.3,39.600685,-8.102661,1.4,0560,A3
2025-08-10T22:03:00.600000,3964f1,,,,,,,191.2,,A3
2025-08-10T22:03:00.600000,49514b,TAP1369,27650,400.2,209.0,39.755905,-8.735086,0.4,5260,A3
2025-08-10T22:03:00.600000,4b161f,,,,,,,192.4,,A3
2025-08-10T22:03:00.600000,497c97,ORION01,10025,,,,,0.2,4301,
2025-08-10T22:03:00.600000,495219,TAP26T,28025,481.4,8.6,40.475169,-8.876391,0.4,3333,A3
2025-08-10T22:03:00.600000,406b5c,,,,,,,152.5,,A3
2025-08-10T22:03:00.600000,4cad0f,,,,,,,65.0,0551,A3
2025-08-10T22:03:00.600000,4402f0,,39000,,,39.218628,-7.501871,43.6,,A3
2025-08-10T22:03:00.600000,406c80,,,,,,,193.3,,A3
2025-08-10T22:03:00.600000,3c6637,,,,,,,218.3,,A3
2025-08-10T22:03:00.600000,3964ee,,,,,,,213.6,,A3
2025-08-10T22:03:00.600000,49529a,,,,,,,29.5,,A3
2025-08-10T22:03:00.600000,407574,,,,,,,243.9,,A3
2025-08-10T22:03:00.600000,4cae98,,,,,,,220.3,,A3
2025-08-10T22:04:00.700000,4866ee,,,,,,,78.0,,
2025-08-10T22:04:00.700000,4951d6,TAP828,19975,388.2,44.5,39.368774,-8.41696,13.1,2227,A3
2025-08-10T22:04:00.700000,495145,TAP783,29250,426.2,216.4,39.56349,-8.559692,0.2,0741,A3
2025-08-10T22:04:00.700000,495215,TAP1325,25525,350.8,197.2,39.708389,-8.347997,0.1,7501,A3
2025-08-10T22:04:00.700000,4d22c1,RYR33SL,21825,438.4,44.4,39.652451,-8.037048,21.3,0560,A3
2025-08-10T22:04:00.700000,3964f1,,,,,,,251.3,,A3
2025-08-10T22:04:00.700000,49514b,TAP1369,26600,398.8,208.9,39.655477,-8.807251,0.1,5260,A3
2025-08-10T22:04:00.700000,4b161f,,,,,,,252.5,,A3
2025-08-10T22:04:00.700000,497c97,ORION01,10025,,,,,22.8,4301,
2025-08-10T22:04:00.700000,495219,TAP26T,29000,489.6,8.7,40.667862,-8.838074,0.9,3333,A3
2025-08-10T22:04:00.700000,406b5c,,,,,,,212.7,,A3
2025-08-10T22:04:00.700000,4cad0f,,,,,,,125.1,,A3
2025-08-10T22:04:00.700000,4402f0,,,,,,,103.8,,A3
2025-08-10T22:04:00.700000,406c80,,,,,,,253.4,,A3
2025-08-10T22:04:00.700000,3c6637,,,,,,,278.5,,A3
2025-08-10T22:04:00.700000,3964ee,,,,,,,273.8,,A3
2025-08-10T22:04:00.700000,49529a,,,,,,,14.6,5267,A3
2025-08-10T22:04:00.700000,4cae98,,,,,,,280.5,,A3
2025-08-10T22:05:00.500000,4866ee,,,,,,,137.9,,
2025-08-10T22:05:00.500000,4951d6,TAP828,21200,394.6,44.6,39.419312,-8.352774,28.1,2227,A3
2025-08-10T22:05:00.500000,495145,TAP783,27925,421.8,216.5,39.468933,-8.650121,0.0,0741,A3
2025-08-10T22:05:00.500000,495215,TAP1325,24350,345.6,233.0,39.636437,-8.435059,0.0,7501,A3
2025-08-10T22:05:00.500000,4d22c1,,,,,,,24.6,1156,A3
2025-08-10T22:05:00.500000,49514b,TAP1369,25600,396.6,209.0,39.558975,-8.876058,0.0,5260,A3
2025-08-10T22:05:00.500000,497c97,,,,,,,82.6,,
2025-08-10T22:05:00.500000,495219,,29925,489.6,8.7,40.768867,-8.817902,8.6,3333,A3
2025-08-10T22:05:00.500000,406b5c,,,,,,,272.5,,A3
2025-08-10T22:05:00.500000,4cad0f,,,,,,,184.9,,A3
2025-08-10T22:05:00.500000,4402f0,,38500,,,,,5.1,,A3
2025-08-10T22:05:00.500000,49529a,,,,,,,74.4,,A3
2025-08-10T22:06:00.700000,3c6637,DLH48X,10450,321.1,206.6,38.866789,-9.173645,39.1,,A3
2025-08-10T22:06:00.700000,4d2386,,25850,,,,,20.6,2206,
